	PhraseId	SentenceId	Phrase	Sentiment
9167	9168	383	This ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .	0
9187	9188	384	Broder 's screenplay is shallow , offensive and redundant , with pitifully few real laughs .	1
9205	9206	385	Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .	4
9221	9222	386	Trying to figure out the rules of the Country Bear universe -- when are bears bears and when are they like humans , only hairier -- would tax Einstein 's brain .	1
9261	9262	387	`` Feardotcom '' has the makings of an interesting meditation on the ethereal nature of the internet and the otherworldly energies it could channel , but it simply becomes a routine shocker .	2
9300	9301	388	Delia , Greta , and Paula rank as three of the most multilayered and sympathetic female characters of the year .	4
9325	9326	389	The beauty of Alexander Payne 's ode to the Everyman is in the details .	3
9343	9344	390	The town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial .	1
9383	9384	391	Julie Davis is the Kathie Lee Gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent .	1
9415	9416	392	Much credit must be given to the water-camera operating team of Don King , Sonny Miller , and Michael Stewart .	3
9445	9446	393	In this film , Aussie David Caesar channels the not-quite-dead career of Guy Ritchie .	2
9464	9465	394	As averse as I usually am to feel-good , follow-your-dream Hollywood fantasies , this one got to me .	4
9484	9485	395	Maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .	3
9507	9508	396	Would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ?	2
9527	9528	397	Loses its sense of humor in a vat of failed jokes , twitchy acting , and general boorishness .	0
9550	9551	398	This misty-eyed Southern nostalgia piece , in treading the line between sappy and sanguine , winds up mired in tear-drenched quicksand .	1
9581	9582	399	To be oblivious to the existence of this film would be very sweet indeed .	1
9597	9598	400	Despite its flaws ... Belinsky is still able to create an engaging story that keeps you guessing at almost every turn .	3
9620	9621	401	A porn film without the sex scenes .	2
9628	9629	402	The movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .	2
9650	9651	403	Notwithstanding my problem with the movie 's final half hour , I 'm going to recommend SECRETARY , based on the wonderful acting clinic put on by Spader and Gyllenhaal , and also the unique way Shainberg goes about telling what at heart is a sweet little girl -	3
9707	9708	404	Despite slick production values and director Roger Michell 's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours .	1
9737	9738	405	`` Barbershop '' is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story .	3
9757	9758	406	A soulless jumble of ineptly assembled cliches and pabulum that plays like a 95-minute commercial for NBA properties .	1
9783	9784	407	An ambitious , serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance .	2
9811	9812	408	Consistently clever and suspenseful .	4
9816	9817	409	Soderbergh skims the fat from the 1972 film .	3
9828	9829	410	Hilarious musical comedy though stymied by accents thick as mud .	2
9842	9843	411	A movie like The Guys is why film criticism can be considered work .	1
9856	9857	412	Anyone who suffers through this film deserves , at the very least , a big box of consolation candy .	0
9878	9879	413	Bearable .	2
9880	9881	414	Cremaster 3 is at once a tough pill to swallow and a minor miracle of self-expression .	3
9903	9904	415	But Kouyate elicits strong performances from his cast , and he delivers a powerful commentary on how governments lie , no matter who runs them .	3
9934	9935	416	See it for his performance if nothing else .	3
9940	9941	417	The asylum material is gripping , as are the scenes of Jia with his family .	4
9959	9960	418	I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .	4
9981	9982	419	Attal pushes too hard to make this a comedy or serious drama .	0
9995	9996	420	plays like some corny television production from a bygone era	1
10003	10004	421	It 's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today .	4
10038	10039	422	Solondz may well be the only one laughing at his own joke	1
10050	10051	423	Here 's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior .	1
10089	10090	424	Any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .	3
10115	10116	425	Some Body smacks of exhibitionism more than it does cathartic truth telling .	1
10132	10133	426	Though writer\/director Bart Freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of Crudup 's anchoring performance .	3
10170	10171	427	-LRB- Carvey 's -RRB- characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .	0
10195	10196	428	This beautifully animated epic is never dull .	4
10203	10204	429	Charming and witty , it 's also somewhat clumsy .	3
10211	10212	430	In one scene , we get a stab at soccer hooliganism , a double-barreled rip-off of Quentin Tarantino 's climactic shootout -- and Meat Loaf explodes .	1
10250	10251	431	frustratingly refuses to give Pinochet 's crimes a political context	0
10275	10276	432	Paul Bettany playing Malcolm McDowell ?	2
10283	10284	433	A serviceable Euro-trash action extravaganza , with a decent sense of humor and plenty of things that go boom -- handguns , BMWs and seaside chateaus .	2
10318	10319	434	Veterans of the dating wars will smirk uneasily at the film 's nightmare versions of everyday sex-in-the-city misadventures .	2
10344	10345	435	It sends you away a believer again and quite cheered at just that .	4
10359	10360	436	The rollerball sequences feel sanitised and stagey .	1
10370	10371	437	Interview With the Assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its Blair Witch Project real-time roots .	1
10410	10411	438	It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .	4
10437	10438	439	A nearly 21\/2 hours , the film is way too indulgent .	1
10449	10450	440	Seems like something American and European gay movies were doing 20 years ago .	1
10466	10467	441	Claims to sort the bad guys from the good , which is its essential problem .	1
10483	10484	442	Mana gives us compelling , damaged characters who we want to help -- or hurt .	2
10500	10501	443	Good-looking but relentlessly lowbrow outing plays like Clueless Does South Fork .	1
10517	10518	444	Evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .	3
10543	10544	445	The concept is a hoot .	3
10549	10550	446	A straight-shooting family film which awards animals the respect they 've rarely been given .	4
10566	10567	447	The directive to protect the code at all costs also begins to blur as the importance of the man and the code merge	2
10591	10592	448	What Eric Schaeffer has accomplished with Never Again may not , strictly speaking , qualify as revolutionary .	2
10613	10614	449	Obvious , obnoxious and didactic burlesque .	0
10622	10623	450	What can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?	2
10644	10645	451	Ca n't seem to get anywhere near the story 's center .	2
10657	10658	452	Even with its $ 50-million US budget , Pinocchio never quite achieves the feel of a fanciful motion picture .	1
10682	10683	453	A little more intensity and a little less charm would have saved this film a world of hurt .	1
10699	10700	454	Like most of Jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand .	1
10722	10723	455	Maelstrom is a deliberately unsteady mixture of stylistic elements .	2
10736	10737	456	Just bring on the Battle Bots , please !	3
10746	10747	457	Sweet Home Alabama is n't going to win any Academy Awards , but this date-night diversion will definitely win some hearts .	3
10772	10773	458	Love may have been in the air onscreen , but I certainly was n't feeling any of it .	1
10791	10792	459	Too long , and larded with exposition , this somber cop drama ultimately feels as flat as the scruffy sands of its titular community .	1
10821	10822	460	The young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .	1
10852	10853	461	In some ways , Lagaan is quintessential Bollywood .	2
10863	10864	462	A characteristically engorged and sloppy coming-of-age movie .	1
10871	10872	463	A wry , affectionate delight .	4
10879	10880	464	Credit director Ramsay for taking the sometimes improbable story and making it feel realistic .	3
10895	10896	465	The auteur 's ear for the way fears and slights are telegraphed in the most blithe exchanges gives the film its lingering tug .	3
10921	10922	466	Gets better after Foster leaves that little room .	3
10931	10932	467	Despite its lavish formalism and intellectual austerity , the film manages to keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity .	3
10969	10970	468	Friday After Next is the kind of film that could only be made by African-Americans because of its broad racial insensitivity towards African-Americans .	1
10996	10997	469	As lively an account as Seinfeld is deadpan .	1
11008	11009	470	Brings awareness to an issue often overlooked -- women 's depression .	2
11023	11024	471	Imagine a film that begins as a Seven rip-off , only to switch to a mix of The Shining , The Thing , and any naked teenagers horror flick from the 1980s .	1
11060	11061	472	Definitely funny stuff , but it 's more of the ` laughing at ' variety than the ` laughing with . '	3
11081	11082	473	A heartening tale of small victories and enduring hope .	3
11094	11095	474	An emotionally strong and politically potent piece of cinema .	4
11103	11104	475	An extremely unpleasant film .	0
11108	11109	476	More intellectually scary than dramatically involving .	1
11117	11118	477	A puzzling experience .	2
11121	11122	478	Jonah is only so-so ... the addition of a biblical message will either improve the film for you , or it will lessen it .	2
11149	11150	479	I hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .	4
11166	11167	480	Intelligent and moving .	4
11170	11171	481	This film is too busy hitting all of its assigned marks to take on any life of its own .	1
11191	11192	482	Mark Wahlberg ... may look classy in a '60s - homage pokepie hat , but as a character he 's dry , dry , dry .	2
11221	11222	483	The moral shrapnel and mental shellshock will linger long after this film has ended .	3
11239	11240	484	As Warren he stumbles in search of all the emotions and life experiences he 's neglected over the years .	2
11262	11263	485	It should have stayed there .	1
11268	11269	486	... in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes .	0
11297	11298	487	It is not the first time that director Sara Sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them .	0
11332	11333	488	There 's no point of view , no contemporary interpretation of Joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .	1
11377	11378	489	There is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye .	3
11421	11422	490	Romantic , riveting and handsomely animated .	4
11428	11429	491	This overproduced piece of dreck is shockingly bad and absolutely unnecessary .	0
11444	11445	492	As saccharine as it is disposable .	1
11452	11453	493	Captures the raw comic energy of one of our most flamboyant female comics .	4
11469	11470	494	A subtle , poignant picture of goodness that is flawed , compromised and sad .	2
11486	11487	495	An exceptionally acted , quietly affecting cop drama .	4
11495	11496	496	Even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .	1
11523	11524	497	Perfectly pitched between comedy and tragedy , hope and despair , About Schmidt instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .	4
11569	11570	498	She nearly glows with enthusiasm , sensuality and a conniving wit .	3
11583	11584	499	Despite modest aspirations its occasional charms are not to be dismissed .	3
11596	11597	500	So exaggerated and broad that it comes off as annoying rather than charming .	1
11609	11610	501	Strange , funny , twisted , brilliant and macabre .	4
11620	11621	502	The film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .	1
11655	11656	503	The cast comes through even when the movie does n't .	2
11662	11663	504	A rock-solid gangster movie with a fair amount of suspense , intriguing characters and bizarre bank robberies , plus a heavy dose of father-and-son dynamics .	3
11697	11698	505	It 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate Gantz brothers as ordinary , pasty lumpen .	3
11739	11740	506	Innocuous enough to make even Jean-Claude Van Damme look good .	2
11753	11754	507	But if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie .	0
11789	11790	508	But its storytelling prowess and special effects are both listless .	1
11800	11801	509	I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .	4
11859	11860	510	Newcomer helmer Kevin Donovan is hamstrung by a badly handled screenplay of what is really an amusing concept -- a high-tech tux that transforms its wearer into a superman .	2
11899	11900	511	One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin .	1
11943	11944	512	With a confrontational stance , Todd Solondz takes aim on political correctness and suburban families .	2
11965	11966	513	A processed comedy chop suey .	1
11972	11973	514	eventually arrives at its heart , as simple self-reflection meditation .	3
11984	11985	515	Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .	1
12004	12005	516	So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .	3
12034	12035	517	An intelligent , multi-layered and profoundly humanist -LRB- not to mention gently political -RRB- meditation on the values of knowledge , education , and the affects of cultural and geographical displacement .	4
12074	12075	518	I 'm not sure which is worse : the poor acting by the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen .	0
12110	12111	519	A sexy , peculiar and always entertaining costume drama set in Renaissance Spain , and the fact that it 's based on true events somehow makes it all the more compelling .	4
12146	12147	520	The Santa Clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .	3
12172	12173	521	Goldmember has none of the visual wit of the previous pictures , and it looks as though Jay Roach directed the film from the back of a taxicab .	0
12203	12204	522	It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .	3
12227	12228	523	Highly recommended as an engrossing story about a horrifying historical event and the elements which contributed to it .	3
12247	12248	524	Goes on and on to the point of nausea .	1
12256	12257	525	-LRB- Raimi 's -RRB- matured quite a bit with Spider-Man , even though it 's one of the most plain white toast comic book films you 'll ever see .	2
12288	12289	526	It 's about as convincing as any other Arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic .	1
12319	12320	527	An unbelievably stupid film , though occasionally fun enough to make you forget its absurdity .	1
12337	12338	528	In between the icy stunts , the actors spout hilarious dialogue about following your dream and ` just letting the mountain tell you what to do . '	3
12368	12369	529	A modestly surprising movie .	3
12373	12374	530	... a powerful sequel and one of the best films of the year .	4
12384	12385	531	Combines improbable melodrama -LRB- gored bullfighters , comatose ballerinas -RRB- with subtly kinky bedside vigils and sensational denouements , and yet at the end , we are undeniably touched .	3
12422	12423	532	This is one of Mr. Chabrol 's subtlest works , but also one of his most uncanny .	3
12439	12440	533	This one is strictly a lightweight escapist film .	2
12448	12449	534	It 's actually too sincere -- the crime movie equivalent of a chick flick .	2
12463	12464	535	If the title is a Jeopardy question , then the answer might be `` How does Steven Seagal come across these days ? ''	1
12490	12491	536	Unambitious writing emerges in the movie , using a plot that could have come from an animated-movie screenwriting textbook .	1
12512	12513	537	Not that any of us should be complaining when a film clocks in around 90 minutes these days , but the plotting here leaves a lot to be desired .	1
12542	12543	538	There is a freedom to watching stunts that are this crude , this fast-paced and this insane .	3
12561	12562	539	` This movie sucks . '	0
12566	12567	540	Dignified CEO 's meet at a rustic retreat and pee against a tree .	1
12586	12587	541	A sugar-coated Rocky whose valuable messages are forgotten 10 minutes after the last trombone honks .	1
12607	12608	542	The movie is too amateurishly square to make the most of its own ironic implications .	1
12625	12626	543	What sets this romantic comedy apart from most Hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .	3
12649	12650	544	The film 's constant mood of melancholy and its unhurried narrative are masterfully controlled .	4
12665	12666	545	Barry Sonnenfeld owes Frank the Pug big time	2
12677	12678	546	One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .	2
12698	12699	547	Schrader aims to present an unflinching look at one man 's downfall , brought about by his lack of self-awareness .	1
12721	12722	548	After that it becomes long and tedious like a classroom play in a college history course .	0
12739	12740	549	Blue Crush follows the formula , but throws in too many conflicts to keep the story compelling .	1
12760	12761	550	A small gem of a movie that defies classification and is as thought-provoking as it is funny , scary and sad .	3
12783	12784	551	Somewhere in the middle , the film compels , as Demme experiments he harvests a few movie moment gems , but the field of roughage dominates .	2
12817	12818	552	While the story is better-focused than the incomprehensible Anne Rice novel it 's based upon , Queen Of The Damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .	0
12859	12860	553	The color sense of Stuart Little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is .	3
12902	12903	554	Parts	2
12920	12921	555	In visual fertility Treasure Planet rivals the top Japanese animations of recent vintage .	3
12941	12942	556	This toothless Dog , already on cable , loses all bite on the big screen .	1
12954	12955	557	Make Chan 's action sequences boring .	1
12962	12963	558	It all comes down to whether you can tolerate Leon Barlow .	1
12977	12978	559	The Wild Thornberrys Movie has all the sibling rivalry and general family chaos to which anyone can relate .	3
13000	13001	560	Peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the Dogtown experience .	4
13027	13028	561	As the movie dragged on , I thought I heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign .	0
13063	13064	562	Will certainly appeal to Asian cult cinema fans and Asiaphiles interested to see what all the fuss is about .	3
13087	13088	563	Green ruins every single scene he 's in , and the film , while it 's not completely wreaked , is seriously compromised by that .	1
13112	13113	564	Evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes .	1
13133	13134	565	Standing in the Shadows of Motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow .	4
13165	13166	566	This is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .	3
13189	13190	567	A thriller whose style , structure and rhythms are so integrated with the story , you can not separate them .	3
13208	13209	568	It 's mostly a pleasure to watch .	3
13215	13216	569	The first question to ask about Bad Company is why Anthony Hopkins is in it .	1
13232	13233	570	Nair and writer Laura Cahill dare to build a movie around some flawed but rather unexceptional women , emerging with a fine character study that 's short on plot but rich in the tiny revelations of real life .	2
13279	13280	571	Goofy , nutty , consistently funny .	4
13286	13287	572	Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling .	4
13306	13307	573	Welles groupie\/scholar Peter Bogdanovich took a long time to do it , but he 's finally provided his own broadside at publishing giant William Randolph Hearst .	3
13342	13343	574	The most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill .	1
13365	13366	575	Skillful as he is , Mr. Shyamalan is undone by his pretensions .	2
13380	13381	576	Fans of so-bad-they 're - good cinema may find some fun in this jumbled mess .	2
13397	13398	577	We started to wonder if ... some unpaid intern had just typed ` Chris Rock , ' ` Anthony Hopkins ' and ` terrorists ' into some Univac-like script machine .	0
13433	13434	578	Mostly works because of the universal themes , earnest performances ... and excellent use of music by India 's popular Gulzar and Jagjit Singh .	4
13462	13463	579	A perceptive , good-natured movie .	3
13468	13469	580	This is n't a stand up and cheer flick ; it 's a sit down and ponder affair .	3
13487	13488	581	One of the pleasures in Walter 's documentary ... is the parade of veteran painters , confounded dealers , and miscellaneous bohos who expound upon the subject 's mysterious personality without ever explaining him .	2
13533	13534	582	Adrift , Bentley and Hudson stare and sniffle , respectively , as Ledger attempts , in vain , to prove that movie-star intensity can overcome bad hair design .	1
13573	13574	583	The real charm of this trifle is the deadpan comic face of its star , Jean Reno , who resembles Sly Stallone in a hot sake half-sleep .	2
13607	13608	584	And there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after Greene 's story ends .	3
13638	13639	585	Rather than real figures	1
13653	13654	586	By no means a great movie , but it is a refreshingly forthright one .	3
13667	13668	587	Not just unlikable .	1
13671	13672	588	Show me the mugging .	2
13676	13677	589	Hashiguchi uses the situation to evoke a Japan bustling atop an undercurrent of loneliness and isolation .	3
13700	13701	590	It 's a rollicking adventure for you and all your mateys , regardless of their ages .	4
13720	13721	591	The next big thing 's not-so-big -LRB- and not-so-hot -RRB- directorial debut .	2
13734	13735	592	If you 're content with a clever pseudo-bio that manages to have a good time as it doles out pieces of the famous director 's life , Eisenstein delivers .	3
13764	13765	593	Overly long and worshipful bio-doc .	1
13772	13773	594	A visual spectacle full of stunning images and effects .	4
13783	13784	595	There is something that is so meditative and lyrical about Babak Payami 's boldly quirky Iranian drama Secret Ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of Middle Eastern world politics	3
13835	13836	596	It 's easy to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs , but Westbrook 's foundation and Dalrymple 's film earn their uplift .	2
13876	13877	597	The difference is that I truly enjoyed most of Mostly Martha while I ne	3
13891	13892	598	I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .	2
13911	13912	599	Falsehoods pile up , undermining the movie 's reality and stifling its creator 's comic voice .	1
13930	13931	600	The early and middle passages are surprising in how much they engage and even touch us .	4
13948	13949	601	Limps along on a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly .	1
13971	13972	602	A really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film .	2
13989	13990	603	Writer and director Otar Iosseliani 's pleasant tale about a factory worker who escapes for a holiday in Venice reveals how we all need a playful respite from the grind to refresh our souls .	4
14035	14036	604	A mechanical action-comedy whose seeming purpose is to market the charismatic Jackie Chan to even younger audiences .	0
14060	14061	605	Chalk it up as the worst kind of hubristic folly .	0
14074	14075	606	Though Haynes ' style apes films from the period ... its message is not rooted in that decade .	2
14095	14096	607	But I do .	2
14098	14099	608	A compelling allegory about the last days of Germany 's democratic Weimar Republic .	3
14116	14117	609	Director Jay Russell stomps in hobnail boots over Natalie Babbitt 's gentle , endearing 1975 children 's novel .	1
14140	14141	610	It is an indelible epic American story about two families , one black and one white , facing change in both their inner and outer lives .	2
14172	14173	611	It 's as raw and action-packed an experience as a ringside seat at a tough-man contest .	4
14192	14193	612	... -LRB- the film -RRB- works , due mostly to the tongue-in-cheek attitude of the screenplay .	3
14209	14210	613	You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .	3
14237	14238	614	The movie strains to stay on the light , comic side of the issue , despite the difficulty of doing so when dealing with the destruction of property and , potentially , of life itself .	2
14276	14277	615	Unfortunately the story and the actors are served with a hack script .	1
14286	14287	616	This is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors .	1
14308	14309	617	The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D .	4
14339	14340	618	A tired , unnecessary retread ... a stale copy of a picture that was n't all that great to begin with .	0
14361	14362	619	Its initial excitement settles into a warmed over pastiche .	1
14373	14374	620	Muccino , who directed from his own screenplay , is a canny crowd pleaser , and The Last Kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex .	4
14412	14413	621	It challenges , this nervy oddity , like modern art should .	3
14426	14427	622	Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .	4
14457	14458	623	An hour and a half of joyful solo performance .	4
14468	14469	624	Like its parade of predecessors , this Halloween is a gory slash-fest .	3
14483	14484	625	Better than the tepid Star Trek : Insurrection ; falls short of First Contact because the villain could n't pick the lint off Borg Queen Alice Krige 's cape ; and finishes half a parsec -LRB- a nose -RRB- ahead of Generations .	2
14541	14542	626	Exploits -LRB- headbanger -RRB- stereotypes in good fun , while adding a bit of heart and unsettling subject matter .	3
14562	14563	627	It 's just rather leaden and dull .	0
14569	14570	628	Rice never clearly defines his characters or gives us a reason to care about them .	1
14584	14585	629	Although the subject matter may still be too close to recent national events , the film works - mostly due to its superior cast of characters .	3
14609	14610	630	A deeply felt and vividly detailed story about newcomers in a strange new world .	3
14626	14627	631	The film 's darker moments become smoothed over by an overwhelming need to tender inspirational tidings , especially in the last few cloying moments .	2
14654	14655	632	From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .	3
14678	14679	633	Its impressive images of crematorium chimney fires and stacks of dead bodies are undermined by the movie 's presentation , which is way too stagy .	1
14708	14709	634	Triple X is a double agent , and he 's one bad dude .	3
14725	14726	635	There has been a string of ensemble cast romances recently ... but Peter Mattei 's Love in the Time of Money sets itself apart by forming a chain of relationships that come full circle to end on a positive -LRB- if tragic -RRB- note .	3
14776	14777	636	This is popcorn movie fun with equal doses of action , cheese , ham and cheek -LRB- as well as a serious debt to The Road Warrior -RRB- , but it feels like unrealized potential	3
14817	14818	637	As an actress , Madonna is one helluva singer .	4
14828	14829	638	Jaglom offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar .	1
14849	14850	639	The filmmakers ' eye for detail and the high standards of performance convey a strong sense of the girls ' environment .	3
14872	14873	640	It wraps up a classic mother\/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it 's not all new , at least it looks pretty .	2
14907	14908	641	or maybe `` How will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ? ''	0
14938	14939	642	Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .	3
14962	14963	643	How can such a cold movie claim to express warmth and longing ?	1
14978	14979	644	Only at the prospect of Beck 's next project .	2
14989	14990	645	... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll .	4
15012	15013	646	A bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing .	4
15039	15040	647	Shankman ... and screenwriter Karen Janszen bungle their way through the narrative as if it were a series of Bible parables and not an actual story .	0
15069	15070	648	They can and will turn on a dime from oddly humorous to tediously sentimental .	3
15086	15087	649	It 's a terrible movie in every regard , and utterly painful to watch .	0
15102	15103	650	Why spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?	0
15135	15136	651	Evokes the 19th century with a subtlety that is an object lesson in period filmmaking .	3
15154	15155	652	All three actresses are simply dazzling , particularly Balk , who 's finally been given a part worthy of her considerable talents .	4
15178	15179	653	The beautiful , unusual music is this film 's chief draw , but its dreaminess may lull you to sleep .	2
15203	15204	654	You may be captivated , as I was , by its moods , and by its subtly transformed star , and still wonder why Paul Thomas Anderson ever had the inclination to make the most sincere and artful movie in which Adam Sandler will probably ever appear .	3
15255	15256	655	The only surprise is that heavyweights Joel Silver and Robert Zemeckis agreed to produce this ; I assume the director has pictures of them cavorting in ladies ' underwear .	1
15294	15295	656	Ver Wiel 's desperate attempt at wit is lost , leaving the character of Critical Jim two-dimensional and pointless .	1
15321	15322	657	So vivid a portrait of a woman consumed by lust and love and crushed by betrayal that it conjures up the intoxicating fumes and emotional ghosts of a freshly painted Rembrandt .	4
15359	15360	658	Cacoyannis ' vision is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .	1
15400	15401	659	In other words , it 's badder than bad .	0
15411	15412	660	Wedding feels a bit anachronistic .	0
15416	15417	661	Dong never pushes for insights beyond the superficial tensions of the dynamic he 's dissecting , and the film settles too easily along the contours of expectation .	1
15447	15448	662	Little is done to support the premise other than fling gags at it to see which ones shtick .	1
15468	15469	663	Brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade .	4
15490	15491	664	With an obvious rapport with her actors and a striking style behind the camera	3
15512	15513	665	You can see where Big Bad Love is trying to go , but it never quite gets there .	2
15529	15530	666	A sleek advert for youthful anomie that never quite equals the sum of its pretensions .	1
15548	15549	667	Statham employs an accent that I think is supposed to be an attempt at hardass American but sometimes just lapses into unhidden British .	1
15579	15580	668	If A Few Good Men told us that we `` ca n't handle the truth '' than High Crimes poetically states at one point in this movie that we `` do n't care about the truth . ''	2
15615	15616	669	So boring that even its target audience talked all the way through it .	0
15627	15628	670	Wiser souls would have tactfully pretended not to see it and left it lying there	2
15642	15643	671	Rarely has sex on screen been so aggressively anti-erotic .	0
15653	15654	672	The Hours , a delicately crafted film , is an impressive achievement in spite of a river of sadness that pours into every frame .	3
15679	15680	673	Delivers roughly equal amounts of beautiful movement and inside information .	3
15693	15694	674	Showtime 's starry cast could be both an asset and a detriment .	2
15709	15710	675	-LRB- Dong -RRB- makes a valiant effort to understand everyone 's point of view , and he does such a good job of it that Family Fundamentals gets you riled up .	4
15742	15743	676	Light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in Birthday Girl -- it 's simply , and surprisingly , a nice , light treat .	4
15784	15785	677	In his debut as a director , Washington has a sure hand .	4
15796	15797	678	-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .	4
15818	15819	679	This is not Chabrol 's best , but even his lesser works outshine the best some directors can offer .	2
15837	15838	680	The heart of the film is a touching reflection on aging , suffering and the prospect of death .	3
15856	15857	681	It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .	4
15876	15877	682	The movie is undone by a filmmaking methodology that 's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads .	1
